nbRooms,surface,nbWindows,price,id,year,balcony,garage,note,price_category,city
4,75,10,250000,1,2022,True,True,4,normal,Paris
3,65,5,210000,2,2021,False,False,3,normal,Lyon
5,120,12,450000,3,2019,True,True,5,high,Marseille
2,40,3,120000,4,2023,False,False,2,low,Paris
3,80,7,300000,5,2020,True,True,4,normal,Lyon
5,150,15,600000,6,2018,False,True,5,high,Marseille
4,90,8,350000,7,2015,True,False,3,normal,Paris
3,50,4,180000,8,2022,False,True,2,low,Lyon
4,100,9,400000,9,2021,True,True,5,high,Marseille
2,55,6,200000,10,2016,True,False,3,normal,Toulouse
3,45,5,170000,11,2020,False,True,3,normal,Nice
5,130,14,520000,12,2021,True,True,5,high,Bordeaux
4,75,8,290000,13,2023,True,False,3,normal,Nantes
3,70,7,230000,14,2019,False,True,4,normal,Strasbourg
4,90,9,350000,15,2018,True,True,4,high,Montpellier
2,40,4,120000,16,2022,False,False,2,low,Lille
3,55,6,195000,17,2021,True,True,4,normal,Rennes
5,140,13,580000,18,2020,True,True,5,high,Reims
4,85,9,315000,19,2023,False,False,4,normal,Le Havre
2,35,3,100000,20,2021,True,False,2,low,Toulon
3,70,7,230000,21,2022,False,True,3,normal,Dijon
5,125,12,550000,22,2021,True,True,5,high,Metz
4,95,10,400000,23,2023,True,True,4,normal,Clermont-Ferrand
3,55,5,180000,24,2021,True,True,3,normal,Angers
4,80,8,320000,25,2020,True,False,4,high,Grenoble
5,145,15,610000,26,2018,True,True,5,high,Montpellier
3,60,6,240000,27,2023,False,True,4,normal,Tours
4,75,7,310000,28,2022,True,False,4,normal,Orléans
2,50,5,135000,29,2019,True,False,3,low,Amiens
5,120,14,530000,30,2021,True,True,5,high,Limoges
4,95,10,350000,31,2020,False,True,4,high,Perpignan
3,65,6,240000,32,2023,True,True,3,normal,Nancy
4,80,7,315000,33,2021,True,True,4,normal,Laval
5,140,15,580000,34,2022,True,True,5,high,Valenciennes
3,55,5,210000,35,2020,False,False,3,low,Béziers
4,90,8,370000,36,2023,True,False,4,high,Rouen
3,70,7,250000,37,2022,False,True,4,normal,Saint-Étienne
5,130,12,540000,38,2021,True,True,5,high,Pau
4,85,9,340000,39,2023,True,True,4,normal,Bayonne
3,60,6,230000,40,2021,False,True,3,normal,Nîmes
4,100,11,400000,41,2023,True,True,4,high,Colmar
5,135,14,610000,42,2022,True,True,5,high,Annecy
3,75,7,270000,43,2023,True,False,4,normal,La Rochelle
4,85,9,300000,44,2022,False,True,4,normal,Caen
2,40,4,130000,45,2019,True,False,3,low,Saint-Malo
5,110,12,550000,46,2023,True,True,5,high,Chambéry
4,90,8,340000,47,2022,False,True,4,normal,Boulogne-sur-Mer
3,65,6,220000,48,2021,False,True,3,normal,Biarritz
5,125,13,580000,49,2023,True,True,5,high,Ajaccio
4,90,9,365000,50,2020,True,False,4,high,Tarbes
